"HCMU00001.001/O","O","10.835144728045616","106.66329563558202"
"HCMU00001.002/O","O","10.835263001921522","106.66372920705183"
"HCMU00001.003/O","O","10.835814214193284","106.66456774457072"
"HCMU00001.005/O","O","10.835068320370773","106.6651365423279"
"HCMU00001.006/O","O","10.834705121027808","106.6661860568413"
"HCMU00001.007/O","O","10.83466201697298","106.66639116728095"
"HCMU00001.008/O","O","10.834504633262823","106.66663039321622"
"HCMU00001.009/O","O","10.834502617149694","106.66678140625572"
"HCMU00001.010/O","O","10.834358360451468","106.66701551947631"
"HCMU00001.011/O","O","10.834267526548018","106.66741383478595"
"HCMU00001.012/O","O","10.834124596624386","106.66777085007813"
"HCMU00001.013/O","O","10.833831842428147","106.66810810404536"
"HCMU00001.015/O","O","10.833675883803213","106.66918522892284"
"HCMU00001.017/O","O","10.833386296700745","106.66992447763869"
"HCMU00001.018/O","O","10.833227228216682","106.670095711351"
"HCMU00001.019/O","O","10.83326012717288","106.67042906994061"
"HCMU00002.001/O","O","10.768788640199446","106.67544505551382"
"HCMU00002.002/O","O","10.769165646572313","106.67565874078127"
"HCMU00002.003/O","O","10.769503925200214","106.67602414599799"
"HCMU00002.004/O","O","10.770052748167902","106.67682626868248"
"HCMU00002.005/O","O","10.770428890136971","106.67689181014487"
"HCMU00002.007/O","O","10.770811338015845","106.67704124003649"
"HCMU00003.001/O","O","10.749209354809597","106.64043367055228"
"HCMU00003.002/O","O","10.748763905444429","106.64064896502964"
"HCMU00002.008/O","O","10.770925893508837","106.67765637826778"
"HCMU00003.003/O","O","10.749424279530126","106.6417393788447"
"HCMU00003.004/O","O","10.749283615346757","106.64236455675461"
"HCMU00002.009/O","O","10.771510596656736","106.67847845097822"
"HCMU00002.010/O","O","10.771262514596172","106.6787387104855"
"HCMU00002.011/O","O","10.772328098226543","106.67945777459772"
"HCMU00003.005/O","O","10.749401748575785","106.64249450124066"
"HCMU00002.012/O","O","10.773521980224176","106.68029984263376"
"HCMU00003.006/O","O","10.749333782428451","106.64293290980436"
"HCMU00003.007/O","O","10.749619293397021","106.64333157241344"
"HCMU00003.008/O","O","10.749494361624718","106.64376379294822"
"HCMU00002.013/O","O","10.775350376990968","106.68252277852162"
"HCMU00003.009/O","O","10.749379776357056","106.64409466778238"
"HCMU00003.010/O","O","10.749411441214413","106.64485023342377"
"HCMU00002.014/O","O","10.775295674799866","106.68305579149455"
"HCMU00003.011/O","O","10.749386406071679","106.6462280613423"
"HCMU00002.015/O","O","10.768661774191935","106.67480676963476"
"HCMU00003.012/O","O","10.749265778276973","106.6474767202377"
"HCMU00002.016/O","O","10.769134270722738","106.67501822730685"
"HCMU00003.013/O","O","10.74948875966054","106.64753847238728"
"HCMU00002.017/O","O","10.769518230868329","106.67534742504358"
"HCMU00002.018/O","O","10.769725405056295","106.67557407170534"
"HCMU00002.019/O","O","10.770370036119337","106.67594290614227"
"HCMU00002.020/O","O","10.771240335679414","106.67682681655026"
"HCMU00002.021/O","O","10.771708985590783","106.67732209048415"
"HCMU00002.022/O","O","10.771957602270438","106.67778664723869"
"HCMU00002.023/O","O","10.772764719118914","106.67863153589224"
"HCMU00002.024/O","O","10.773204931833238","106.67851017906378"
"HCMU00002.025/O","O","10.772992340505697","106.6789464110451"
"HCMU00003.014/O","O","10.74949490259403","106.64816190674594"
"HCMU00003.015/O","O","10.749323624605292","106.64872029170749"
"HCMU00003.016/O","O","10.749591570451468","106.6493899766864"
"HCMU00002.026/O","O","10.773437751820335","106.67956023619365"
"HCMU00003.017/O","O","10.749545180057485","106.64965454488993"
"HCMU00003.018/O","O","10.749324852753073","106.65026178711992"
"HCMU00003.019/O","O","10.749655852710504","106.65188539050155"
"HCMU00002.027/O","O","10.773867910223622","106.67980534693288"
"HCMU00003.020/O","O","10.749787876683822","106.65230573189456"
"HCMU00003.021/O","O","10.749813963542698","106.65241907576888"
"HCMU00002.028/O","O","10.774016131811111","106.68030071994917"
"HCMU00003.022/O","O","10.750035000000002","106.65279199140173"
"HCMU00002.029/O","O","10.774312585677892","106.68049220122339"
"HCMU00002.030/O","O","10.774841843675905","106.68065564446863"
"HCMU00002.031/O","O","10.77529566938113","106.68170560151339"
"HCMU00002.032/O","O","10.775704813529478","106.68217841104502"
"HCMU00002.033/O","O","10.775925819113091","106.68280988983769"
"HCMU00002.034/O","O","10.776643173121993","106.68203305828388"
"HCMU00004.002/O","O","10.78433958584649","106.70281710491088"
"HCMU00003.023/O","O","10.750672993223276","106.65330024785044"
"HCMU00003.024/O","O","10.750469185963254","106.65222940492822"
"HCMU00003.025/O","O","10.750496196077489","106.65212111073924"
"HCMU00004.003/O","O","10.783330465882527","106.70297097974492"
"HCMU00003.026/O","O","10.750960193209457","106.65093018096832"
"HCMU00003.027/O","O","10.750961475644868","106.6508725104161"
"HCMU00003.030/O","O","10.74981345714366","106.64949796748442"
"HCMU00003.031/O","O","10.749798781428492","106.64940173772288"
"HCMU00003.032/O","O","10.749958151958765","106.64861995337287"
"HCMU00003.033/O","O","10.749765496762228","106.64752727699238"
"HCMU00003.034/O","O","10.74996383680139","106.64747295337293"
"HCMU00003.035/O","O","10.749866618892925","106.64693844601538"
"HCMU00003.036/O","O","10.749968448292204","106.64630005828383"
"HCMU00003.037/O","O","10.749853104425355","106.64558626504709"
"HCMU00003.038/O","O","10.749911107072734","106.64495105799529"
"HCMU00003.039/O","O","10.75003397702057","106.6437433472214"
"HCMU00003.040/O","O","10.750129477695287","106.64377370246416"
"HCMU00003.041/O","O","10.749994599933432","106.6424197987767"
